Month,Oil_tbpd
04-1953,6398
05-1953,6391
06-1953,6588
07-1953,6604
08-1953,6596
09-1953,6552
10-1953,6249
11-1953,6271
12-1953,6237
01-1954,6240
02-1954,6380
03-1954,6508
04-1954,6617
05-1954,6472
06-1954,6499
07-1954,6261
08-1954,6142
09-1954,6144
10-1954,6120
11-1954,6346
12-1954,6391
01-1955,6761
02-1955,6834
03-1955,6886
04-1955,6889
05-1955,6680
06-1955,6595
07-1955,6633
08-1955,6665
09-1955,6735
10-1955,6834
11-1955,7015
12-1955,7157
01-1956,7198
02-1956,7210
03-1956,7279
04-1956,7147
05-1956,7063
06-1956,7100
07-1956,7089
08-1956,7195
09-1956,7053
10-1956,6954
11-1956,7148
12-1956,7377
01-1957,7472
02-1957,7677
03-1957,7693
04-1957,7546
05-1957,7434
06-1957,7110
07-1957,6864
08-1957,6779
09-1957,6893
10-1957,6840
11-1957,6842
12-1957,6924
01-1958,6880
02-1958,6820
03-1958,6277
04-1958,6300
05-1958,6232
06-1958,6339
07-1958,6571
08-1958,6936
09-1958,7088
10-1958,6964
11-1958,6975
12-1958,7138
01-1959,7223
02-1959,7194
03-1959,7188
04-1959,7256
05-1959,7220
06-1959,7083
07-1959,6784
08-1959,6766
09-1959,6857
10-1959,6911
11-1959,6982
12-1959,7193
01-1960,7230
02-1960,7241
03-1960,7128
04-1960,7038
05-1960,6848
06-1960,6939
07-1960,6860
08-1960,6940
09-1960,6971
10-1960,6958
11-1960,7133
12-1960,7150
01-1961,7210
02-1961,7296
03-1961,7471
04-1961,7328
05-1961,7147
06-1961,7103
07-1961,6958
08-1961,7104
09-1961,6995
10-1961,7127
11-1961,7152
12-1961,7311
01-1962,7347
02-1962,7467
03-1962,7376
04-1962,7391
05-1962,7193
06-1962,7257
07-1962,7226
08-1962,7234
09-1962,7320
10-1962,7367
11-1962,7441
12-1962,7381
01-1963,7304
02-1963,7587
03-1963,7558
04-1963,7609
05-1963,7564
06-1963,7562
07-1963,7585
08-1963,7640
09-1963,7507
10-1963,7536
11-1963,7544
12-1963,7511
01-1964,7624
02-1964,7688
03-1964,7712
04-1964,7739
05-1964,7572
06-1964,7560
07-1964,7473
08-1964,7449
09-1964,7532
10-1964,7623
11-1964,7634
12-1964,7770
01-1965,7773
02-1965,7808
03-1965,7863
04-1965,7895
05-1965,7686
06-1965,7748
07-1965,7665
08-1965,7748
09-1965,7418
10-1965,7875
11-1965,7988
12-1965,8180
01-1966,8047
02-1966,8240
03-1966,8294
04-1966,8272
05-1966,8344
06-1966,8346
07-1966,8230
08-1966,8252
09-1966,8254
10-1966,8323
11-1966,8427
12-1966,8511
01-1967,8567
02-1967,8620
03-1967,8544
04-1967,8475
05-1967,8385
06-1967,8539
07-1967,9154
08-1967,9435
09-1967,9095
10-1967,9000
11-1967,8978
12-1967,8908
01-1968,9028
02-1968,9325
03-1968,9319
04-1968,9123
05-1968,9205
06-1968,9144
07-1968,9156
08-1968,9134
09-1968,8932
10-1968,8916
11-1968,8969
12-1968,8906
01-1969,8888
02-1969,8928
03-1969,9055
04-1969,9238
05-1969,9356
06-1969,9631
07-1969,9295
08-1969,9067
09-1969,9295
10-1969,9213
11-1969,9346
12-1969,9528
01-1970,9478
02-1970,9570
03-1970,9508
04-1970,9591
05-1970,9523
06-1970,9359
07-1970,9202
08-1970,9560
09-1970,9853
10-1970,10013
11-1970,10044
12-1970,9944
01-1971,9655
02-1971,9729
03-1971,9768
04-1971,9769
05-1971,9645
06-1971,9604
07-1971,9456
08-1971,9411
09-1971,9135
10-1971,9162
11-1971,9139
12-1971,9100
01-1972,9114
02-1972,9336
03-1972,9462
04-1972,9513
05-1972,9614
06-1972,9522
07-1972,9496
08-1972,9483
09-1972,9508
10-1972,9482
11-1972,9426
12-1972,9335
01-1973,9176
02-1973,9395
03-1973,9272
04-1973,9292
05-1973,9262
06-1973,9214
07-1973,9217
08-1973,9169
09-1973,9065
10-1973,9224
11-1973,9161
12-1973,9063
01-1974,8934
02-1974,9142
03-1974,8965
04-1974,8954
05-1974,8911
06-1974,8780
07-1974,8780
08-1974,8699
09-1974,8443
10-1974,8611
11-1974,8569
12-1974,8527
01-1975,8455
02-1975,8591
03-1975,8493
04-1975,8457
05-1975,8379
06-1975,8421
07-1975,8336
08-1975,8249
09-1975,8280
10-1975,8324
11-1975,8278
12-1975,8254
01-1976,8232
02-1976,8231
03-1976,8232
04-1976,8077
05-1976,8125
06-1976,8094
07-1976,8127
08-1976,8111
09-1976,8150
10-1976,8063
11-1976,8080
12-1976,8061
01-1977,7854
02-1977,8139
03-1977,8090
04-1977,8145
05-1977,8075
06-1977,8102
07-1977,8105
08-1977,8307
09-1977,8480
10-1977,8573
11-1977,8579
12-1977,8487
01-1978,8360
02-1978,8377
03-1978,8720
04-1978,8818
05-1978,8825
06-1978,8832
07-1978,8756
08-1978,8758
09-1978,8800
10-1978,8820
11-1978,8741
12-1978,8662
01-1979,8475
02-1979,8525
03-1979,8601
04-1979,8553
05-1979,8601
06-1979,8432
07-1979,8364
08-1979,8548
09-1979,8523
10-1979,8621
11-1979,8761
12-1979,8615
01-1980,8675
02-1980,8705
03-1980,8698
04-1980,8685
05-1980,8635
06-1980,8554
07-1980,8547
08-1980,8414
09-1980,8619
10-1980,8532
11-1980,8495
12-1980,8606
01-1981,8540
02-1981,8604
03-1981,8613
04-1981,8557
05-1981,8501
06-1981,8629
07-1981,8500
08-1981,8583
09-1981,8604
10-1981,8563
11-1981,8586
12-1981,8585
01-1982,8509
02-1982,8702
03-1982,8667
04-1982,8591
05-1982,8683
06-1982,8646
07-1982,8658
08-1982,8634
09-1982,8701
10-1982,8701
11-1982,8697
12-1982,8598
01-1983,8697
02-1983,8758
03-1983,8700
04-1983,8776
05-1983,8631
06-1983,8667
07-1983,8636
08-1983,8679
09-1983,8784
10-1983,8771
11-1983,8770
12-1983,8397
01-1984,8868
02-1984,8874
03-1984,8672
04-1984,8862
05-1984,8955
06-1984,8852
07-1984,8885
08-1984,8809
09-1984,8993
10-1984,8906
11-1984,8979
12-1984,8897
01-1985,8740
02-1985,9025
03-1985,9095
04-1985,9043
05-1985,9132
06-1985,9022
07-1985,8949
08-1985,8803
09-1985,8954
10-1985,8970
11-1985,8902
12-1985,9030
01-1986,9137
02-1986,9173
03-1986,9013
04-1986,8864
05-1986,8838
06-1986,8623
07-1986,8660
08-1986,8374
09-1986,8328
10-1986,8419
11-1986,8412
12-1986,8352
01-1987,8480
02-1987,8389
03-1987,8464
04-1987,8498
05-1987,8336
06-1987,8279
07-1987,8251
08-1987,8210
09-1987,8205
10-1987,8364
11-1987,8397
12-1987,8318
01-1988,8250
02-1988,8374
03-1988,8374
04-1988,8288
05-1988,8229
06-1988,8170
07-1988,8040
08-1988,8079
09-1988,7895
10-1988,8023
11-1988,8023
12-1988,7942
01-1989,7937
02-1989,7788
03-1989,7575
04-1989,7772
05-1989,7816
06-1989,7624
07-1989,7444
08-1989,7544
09-1989,7548
10-1989,7453
11-1989,7536
12-1989,7337
01-1990,7546
02-1990,7497
03-1990,7433
04-1990,7407
05-1990,7328
06-1990,7106
07-1990,7173
08-1990,7287
09-1990,7224
10-1990,7542
11-1990,7387
12-1990,7338
01-1991,7500
02-1991,7637
03-1991,7546
04-1991,7509
05-1991,7409
06-1991,7320
07-1991,7347
08-1991,7316
09-1991,7368
10-1991,7437
11-1991,7328
12-1991,7299
01-1992,7361
02-1992,7389
03-1992,7348
04-1992,7293
05-1992,7169
06-1992,7167
07-1992,7131
08-1992,6922
09-1992,7030
10-1992,7126
11-1992,7024
12-1992,7103
01-1993,6961
02-1993,6943
03-1993,6974
04-1993,6881
05-1993,6847
06-1993,6795
07-1993,6688
08-1993,6758
09-1993,6712
10-1993,6839
11-1993,6912
12-1993,6858
01-1994,6817
02-1994,6770
03-1994,6746
04-1994,6612
05-1994,6688
06-1994,6611
07-1994,6501
08-1994,6544
09-1994,6609
10-1994,6658
11-1994,6628
12-1994,6760
01-1995,6682
02-1995,6794
03-1995,6600
04-1995,6604
05-1995,6629
06-1995,6579
07-1995,6449
08-1995,6447
09-1995,6416
10-1995,6421
11-1995,6585
12-1995,6530
01-1996,6495
02-1996,6577
03-1996,6571
04-1996,6444
05-1996,6394
06-1996,6458
07-1996,6338
08-1996,6360
09-1996,6482
10-1996,6481
11-1996,6476
12-1996,6506
01-1997,6402
02-1997,6514
03-1997,6452
04-1997,6441
05-1997,6474
06-1997,6442
07-1997,6409
08-1997,6347
09-1997,6486
10-1997,6467
11-1997,6459
12-1997,6531
01-1998,6541
02-1998,6476
03-1998,6408
04-1998,6483
05-1998,6347
06-1998,6267
07-1998,6194
08-1998,6203
09-1998,5789
10-1998,6143
11-1998,6140
12-1998,6043
01-1999,5963
02-1999,5966
03-1999,5883
04-1999,5887
05-1999,5875
06-1999,5760
07-1999,5798
08-1999,5780
09-1999,5804
10-1999,5947
11-1999,5960
12-1999,5959
01-2000,5784
02-2000,5852
03-2000,5918
04-2000,5854
05-2000,5847
06-2000,5823
07-2000,5739
08-2000,5789
09-2000,5758
10-2000,5809
11-2000,5833
12-2000,5855
01-2001,5799
02-2001,5780
03-2001,5880
04-2001,5863
05-2001,5829
06-2001,5766
07-2001,5749
08-2001,5725
09-2001,5709
10-2001,5746
11-2001,5881
12-2001,5887
01-2002,5873
02-2002,5881
03-2002,5886
04-2002,5844
05-2002,5905
06-2002,5884
07-2002,5751
08-2002,5796
09-2002,5411
10-2002,5358
11-2002,5624
12-2002,5722
01-2003,5755
02-2003,5783
03-2003,5803
04-2003,5726
05-2003,5663
06-2003,5659
07-2003,5498
08-2003,5574
09-2003,5609
10-2003,5614
11-2003,5547
12-2003,5571
01-2004,5585
02-2004,5572
03-2004,5617
04-2004,5560
05-2004,5556
06-2004,5407
07-2004,5484
08-2004,5325
09-2004,5081
10-2004,5170
11-2004,5423
12-2004,5510
01-2005,5446
02-2005,5501
03-2005,5601
04-2005,5563
05-2005,5596
06-2005,5442
07-2005,5253
08-2005,5198
09-2005,4214
10-2005,4555
11-2005,4857
12-2005,4988
01-2006,5048
02-2006,5032
03-2006,5027
04-2006,5082
05-2006,5151
06-2006,5163
07-2006,5094
08-2006,5040
09-2006,5031
10-2006,5108
11-2006,5064
12-2006,5186
01-2007,5108
02-2007,5118
03-2007,5119
04-2007,5180
05-2007,5211
06-2007,5075
07-2007,5038
08-2007,4970
09-2007,4902
10-2007,5022
11-2007,5034
12-2007,5111
01-2008,5115
02-2008,5148
03-2008,5189
04-2008,5180
05-2008,5143
06-2008,5138
07-2008,5177
08-2008,5003
09-2008,3974
10-2008,4738
11-2008,5078
12-2008,5103
01-2009,5144
02-2009,5239
03-2009,5219
04-2009,5278
05-2009,5377
06-2009,5269
07-2009,5398
08-2009,5418
09-2009,5559
10-2009,5524
11-2009,5395
12-2009,5452
01-2010,5404
02-2010,5553
03-2010,5515
04-2010,5392
05-2010,5401
06-2010,5380
07-2010,5298
08-2010,5447
09-2010,5616
10-2010,5631
11-2010,5576
12-2010,5607
01-2011,5497
02-2011,5406
03-2011,5618
04-2011,5562
05-2011,5625
06-2011,5589
07-2011,5440
08-2011,5665
09-2011,5614
10-2011,5902
11-2011,6039
12-2011,6112
01-2012,6175
02-2012,6268
03-2012,6326
04-2012,6320
05-2012,6369
06-2012,6275
07-2012,6431
08-2012,6350
09-2012,6597
10-2012,6969
11-2012,7081
12-2012,7105
01-2013,7084
02-2013,7156
03-2013,7215
04-2013,7375
05-2013,7327
06-2013,7279
07-2013,7524
08-2013,7536
09-2013,7839
10-2013,7761
11-2013,7920
12-2013,7934
01-2014,8078
02-2014,8157
03-2014,8297
04-2014,8527
05-2014,8645
06-2014,8743
07-2014,8843
08-2014,8929
09-2014,9086
10-2014,9264
11-2014,9326
12-2014,9564
01-2015,9382
02-2015,9504
03-2015,9582
04-2015,9658
05-2015,9474
06-2015,9358
07-2015,9446
08-2015,9409
09-2015,9480
10-2015,9400
11-2015,9332
12-2015,9275
01-2016,9201
02-2016,9063
03-2016,9088
04-2016,8871
05-2016,8832
06-2016,8672
07-2016,8660
08-2016,8688
09-2016,8542
10-2016,8802
11-2016,8901
12-2016,8814
01-2017,8873
02-2017,9109
03-2017,9168
04-2017,9103
05-2017,9184
06-2017,9110
07-2017,9246
08-2017,9245
09-2017,9516
10-2017,9659
11-2017,10077
12-2017,9979
01-2018,9996
02-2018,10276
03-2018,10461
04-2018,10493
05-2018,10424
06-2018,10628
07-2018,10888
08-2018,11373
09-2018,11422
10-2018,11488
11-2018,11868
12-2018,11924
01-2019,11848
02-2019,11653
03-2019,11899
04-2019,12125
05-2019,12141
06-2019,12179
07-2019,11896
08-2019,12475
09-2019,12572
10-2019,12771
11-2019,12966
12-2019,12910
01-2020,12785
02-2020,12826
03-2020,12816
04-2020,11911
05-2020,9711
06-2020,10420
07-2020,10956
08-2020,10558
09-2020,10868
10-2020,10413
11-2020,11121
12-2020,11084
01-2021,11056
02-2021,9773
03-2021,11160
04-2021,11230
05-2021,11334
06-2021,11288
07-2021,11330
08-2021,11206
09-2021,10851
10-2021,11526
11-2021,11769
12-2021,11604
01-2022,11362
02-2022,11312
